-0.12 -95.06,32.72 -92.74,65.29 -87.23,81.10 61.39,49.06 80.82,16.31 83.90,-16.54 86.02,-49.22 89.11,-81.14 108.61,-65.39 -102.90,-32.92 -97.37,10.84 -64.36,43.62 -61.63,75.96 -50.55,70.66 104.68,38.17 112.13,5.36 114.62,-27.47 116.82,-60.02 121.18,-85.51 -117.94,-54.63 -70.10,-22.01 -66.50,21.78 -33.61,54.49 -30.02,85.51 17.73,59.90 138.76,27.25 143.11,-5.60 145.30,-38.36 147.79,-70.73 155.27,-76.02 -49.60,-43.79 -38.49,-11.07 -35.75,32.72 -2.74,65.29 2.77,81.10 151.39,49.06 170.82,16.31 173.90,-16.54 176.02,-49.22 179.11,-81.14 -161.39,-65.39 -12.90,-32.92 -7.37,-0.12 -5.06,43.62 28.37,75.96 39.45,70.66 -165.32,38.17 -157.87,5.36 -155.38,-27.47 -153.18,-60.02 -148.82,-85.51 -27.94,-54.63 19.90,-22.01 23.50,10.84 25.64,54.49 59.98,85.51 107.73,59.90 -131.24,27.25 -126.89,-5.60 -124.70,-38.36 -122.21,-70.73 -114.73,-76.02 40.40,-43.79 51.51,-11.07 54.25,21.78 56.39
20.31 72.58,-12.55 74.71,-45.26 77.53,-77.42 90.20,-69.30 -115.62,-36.89 -108.78,-4.12 -106.35,28.73 -104.13,61.36 -99.51,84.50 33.42,53.02 69.14,9.36 103.32,-23.48 105.47,-56.08 109.25,-86.21 174.75,-58.56 -81.97,-25.99 -77.84,6.84 -75.66,39.64 -73.12,72.10 -64.92,74.54 90.83,42.15 100.66,-1.60 134.01,-34.39 136.36,-66.84 142.32,-79.78 -66.40,-47.75 -50.04,-15.07 -47.06,17.79 -44.94,50.53 -41.73,82.42 -18.03,63.84 126.59,31.24 131.73,-12.55 164.71,-45.26 167.53,-77.42 -179.80,-69.30 -25.62,-36.89 -18.78,-4.12 -16.35,28.73 -14.13,61.36 -9.51,84.50 123.42,53.02 159.14,20.31 162.58,-23.48 -164.53,-56.08 -160.75,-86.21 -95.25,-58.56 8.03,-25.99 12.16,6.84 14.34,39.64 16.88,72.10 25.08,74.54 -179.17,42.15 -169.34,9.36 -166.68,-34.39 -133.64,-66.84 -127.68,-79.78 23.60,-47.75 39.96,-15.07 42.94,17.79 45.06,50.53 48.27,82.42 71.97,63.84 -143.41,31.24 -138.27,-1.60 -135.99
16.67 72.58,-16.19 74.70,-48.87 77.77,-80.81 96.42,-65.74 -114.32,-33.27 -108.70,-0.48 -106.37,32.36 -104.07,64.95 -98.65,81.42 49.14,49.41 69.47,5.71 103.30,-27.11 105.49,-59.67 109.80,-85.71 -132.98,-54.97 -81.46,-22.36 -77.82,10.48 -75.68,43.27 -72.96,75.62 -62.21,71.00 93.19,38.52 100.80,-5.24 133.99,-38.01 136.46,-70.39 143.77,-76.35 -61.28,-44.14 -49.82,-11.43 -47.07,21.43 -44.93,54.14 -41.38,85.29 3.03,60.25 127.37,27.61 131.78,-16.19 164.70,-48.87 167.77,-80.81 -173.58,-65.74 -24.32,-33.27 -18.70,-0.48 -16.37,32.36 -14.07,64.95 -8.65,81.42 139.14,49.41 159.47,16.67 162.58,-27.11 -164.51,-59.67 -160.20,-85.71 -42.98,-54.97 8.54,-22.36 12.18,10.48 14.32,43.27 17.04,75.62 27.79,71.00 -176.81,38.52 -169.20,5.71 -166.70,-38.01 -133.54,-70.39 -126.23,-76.35 28.72,-44.14 40.18,-11.43 42.93,21.43 45.07,54.14 48.62,85.29 93.03,60.25 -142.63,27.61 -138.22,-5.24 -136.01
13.02 72.58,-19.83 74.70,-52.47 78.08,-83.96 109.68,-62.17 -113.40,-29.65 -108.63,3.17 -106.39,35.99 -103.99,68.52 -97.44,78.05 56.22,45.79 69.72,2.07 103.28,-30.74 105.54,-63.25 110.54,-83.06 -107.51,-51.38 -81.09,-18.73 -77.81,14.12 -75.69,46.89 -72.76,79.08 -57.66,67.44 94.74,34.90 100.91,-8.89 133.97,-41.63 136.59,-73.92 145.94,-72.85 -58.30,-40.53 -49.66,-7.79 -47.08,25.07 -44.92,57.74 -40.90,86.38 52.09,56.65 127.95,23.97 131.81,-19.83 164.70,-52.47 168.08,-83.96 -160.32,-62.17 -23.40,-29.65 -18.63,3.17 -16.39,35.99 -13.99,68.52 -7.44,78.05 146.22,45.79 159.72,13.02 162.58,-30.74 -164.46,-63.25 -159.46,-83.06 -17.51,-51.38 8.91,-18.73 12.19,14.12 14.31,46.89 17.24,79.08 32.34,67.44 -175.26,34.90 -169.09,2.07 -166.72,-41.63 -133.41,-73.92 -124.06,-72.85 31.70,-40.53 40.34,-7.79 42.92,25.07 45.08,57.74 49.10,86.38 142.09,56.65 -142.05,23.97 -138.19,-8.89 -136.03
9.38 72.56,-23.46 74.71,-56.06 78.49,-86.20 143.66,-58.59 -112.73,-26.02 -108.59,6.81 -106.42,39.62 -103.87,72.08 -95.69,74.56 60.06,42.17 69.91,-1.58 103.25,-34.37 105.61,-66.82 111.56,-79.80 -97.20,-47.78 -80.80,-15.09 -77.81,17.77 -75.69,50.50 -72.49,82.40 -48.86,63.86 95.83,31.26 100.98,-12.53 133.95,-45.24 136.77,-77.40 149.41,-69.32 -56.39,-36.92 -49.54,-4.14 -47.10,28.71 -44.88,61.34 -40.27,84.51 92.50,53.04 128.38,20.33 131.83,-23.46 164.71,-56.06 168.49,-86.20 -126.34,-58.59 -22.73,-26.02 -18.59,6.81 -16.42,39.62 -13.87,72.08 -5.69,74.56 150.06,42.17 159.91,9.38 162.56,-34.37 -164.39,-66.82 -158.44,-79.80 -7.20,-47.78 9.20,-15.09 12.19,17.77 14.31,50.50 17.51,82.40 41.14,63.86 -174.17,31.26 -169.02,-1.58 -166.75,-45.24 -133.23,-77.40 -120.59,-69.32 33.61,-36.92 40.46,-4.14 42.90,28.71 45.12,61.34 49.73,84.51 -177.50,53.04 -141.62,20.33 -138.17,-12.53 -136.05
5.73 72.55,-27.09 74.74,-59.65 79.04,-85.73 -163.99,-55.00 -112.22,-22.39 -108.57,10.46 -106.43,43.24 -103.72,75.60 -92.99,71.03 62.42,38.55 70.05,-5.22 103.23,-37.99 105.71,-70.37 113.01,-76.38 -92.06,-44.17 -80.58,-11.45 -77.82,21.41 -75.69,54.11 -72.13,85.27 -27.94,60.27 96.61,27.63 101.03,-16.17 133.94,-48.84 137.01,-80.79 155.62,-65.76 -55.08,-33.29 -49.45,-0.50 -47.13,32.34 -44.82,64.92 -39.41,81.45 108.32,49.43 128.71,16.69 131.83,-27.09 164.74,-59.65 169.04,-85.73 -73.99,-55.00 -22.22,-22.39 -18.57,10.46 -16.43,43.24 -13.72,75.60 -2.99,71.03 152.42,38.55 160.05,5.73 162.55,-37.99 -164.29,-70.37 -156.99,-76.38 -2.06,-44.17 9.42,-11.45 12.18,21.41 14.31,54.11 17.87,85.27 62.06,60.27 -173.39,27.63 -168.97,-5.22 -166.77,-48.84 -132.99,-80.79 -114.38,-65.76 34.92,-33.29 40.55,-0.50 42.87,32.34 45.18,64.92 50.59,81.45 -161.68,49.43 -141.29,16.69 -138.17,-16.17 -136.06
2.09 72.52,-30.72 74.79,-63.23 79.78,-83.08 -138.36,-51.40 -111.84,-18.75 -108.56,14.10 -106.45,46.86 -103.52,79.06 -88.45,67.46 63.98,34.92 70.15,-8.86 103.21,-41.60 105.84,-73.89 115.17,-72.88 -89.07,-40.56 -80.42,-7.81 -77.84,25.05 -75.67,57.72 -71.66,86.38 20.97,56.67 97.19,23.99 101.06,-19.80 133.95,-52.44 137.32,-83.94 168.79,-62.19 -54.16,-29.67 -49.39,3.15 -47.15,35.97 -44.74,68.50 -38.21,78.07 115.43,45.82 128.96,13.05 131.82,-30.72 164.79,-63.23 169.78,-83.08 -48.36,-51.40 -21.84,-18.75 -18.56,14.10 -16.45,46.86 -13.52,79.06 1.55,67.46 153.98,34.92 160.15,2.09 162.52,-41.60 -164.16,-73.89 -154.83,-72.88 0.93,-40.56 9.58,-7.81 12.16,25.05 14.33,57.72 18.34,86.38 110.97,56.67 -172.81,23.99 -168.94,-8.86 -166.79,-52.44 -132.68,-83.94 -101.21,-62.19 35.84,-29.67 40.61,3.15 42.85,35.97 45.26,68.50 51.79,78.07 -154.57,45.82 -141.04,13.05 -138.18,-19.80 -136.05
-1.55 72.50,-34.34 74.85,-66.79 80.80,-79.83 -128.00,-47.80 -111.55,-15.11 -108.57,17.74 -106.45,50.48 -103.25,82.38 -79.70,63.89 65.07,31.29 70.22,-12.50 103.20,-45.21 106.02,-77.38 118.63,-69.34 -87.15,-36.94 -80.29,-4.17 -77.86,28.68 -75.63,61.31 -71.03,84.53 61.59,53.07 97.63,20.35 101.07,-23.44 133.96,-56.04 137.73,-86.19 -157.42,-58.61 -53.48,-26.04 -49.35,6.79 -47.17,39.60 -44.63,72.05 -36.46,74.58 119.29,42.20 129.15,9.40 131.81,-34.34 164.85,-66.79 170.80,-79.83 -38.00,-47.80 -21.55,-15.11 -18.57,17.74 -16.45,50.48 -13.25,82.38 10.30,63.89 155.07,31.29 160.22,-1.55 162.50,-45.21 -163.98,-77.38 -151.37,-69.34 2.85,-36.94 9.71,-4.17 12.14,28.68 14.37,61.31 18.97,84.53 151.59,53.07 -172.37,20.35 -168.93,-12.50 -166.80,-56.04 -132.27,-86.19 -67.42,-58.61 36.52,-26.04 40.65,6.79 42.83,39.60 45.37,72.05 53.54,74.58 -150.71,42.20 -140.85,9.40 -138.19,-23.44 -136.04
-5.20 72.48,-37.96 74.95,-70.34 82.24,-76.40 -122.84,-44.19 -111.34,-11.47 -108.58,21.38 -106.44,54.09 -102.89,85.26 -58.91,60.30 65.85,27.65 70.27,-16.14 103.19,-48.82 106.25,-80.77 124.81,-65.79 -85.85,-33.32 -80.21,-0.52 -77.88,32.32 -75.58,64.90 -70.17,81.47 77.50,49.46 97.96,16.71 101.08,-27.07 133.98,-59.62 138.28,-85.74 -105.01,-55.02 -52.98,-22.41 -49.33,10.43 -47.19,43.22 -44.48,75.58 -33.77,71.05 121.65,38.57 129.29,5.76 131.79,-37.96 164.95,-70.34 172.24,-76.40 -32.84,-44.19 -21.34,-11.47 -18.58,21.38 -16.44,54.09 -12.89,85.26 31.09,60.30 155.85,27.65 160.27,-5.20 162.48,-48.82 -163.75,-80.77 -145.19,-65.79 4.15,-33.32 9.79,-0.52 12.12,32.32 14.42,64.90 19.83,81.47 167.50,49.46 -172.04,16.71 -168.92,-16.14 -166.81,-59.62 -131.72,-85.74 -15.01,-55.02 37.02,-22.41 40.67,10.43 42.81,43.22 45.52,75.58 56.23,71.05 -148.35,38.57 -140.71,5.76 -138.21,-27.07 -136.02
-8.84 72.46,-41.58 75.08,-73.87 84.40,-72.90 -119.84,-40.58 -111.17,-7.83 -108.59,25.02 -106.42,57.69 -102.42,86.38 -10.15,56.70 66.44,24.02 70.30,-19.78 103.19,-52.42 106.57,-83.92 137.91,-62.21 -84.92,-29.69 -80.14,3.12 -77.90,35.95 -75.50,68.47 -68.97,78.09 84.64,45.84 98.21,13.07 101.07,-30.70 134.03,-63.20 139.02,-83.10 -79.22,-51.42 -52.60,-18.77 -49.32,14.08 -47.20,46.84 -44.27,79.04 -29.25,67.49 123.22,34.94 129.40,2.11 131.77,-41.58 165.08,-73.87 174.40,-72.90 -29.84,-40.58 -21.17,-7.83 -18.59,25.02 -16.42,57.69 -12.42,86.38 79.85,56.70 156.44,24.02 160.30,-8.84 162.46,-52.42 -163.43,-83.92 -132.09,-62.21 5.08,-29.69 9.86,3.12 12.10,35.95 14.50,68.47 21.03,78.09 174.64,45.84 -171.79,13.07 -168.93,-19.78 -166.81,-63.20 -130.98,-83.10 10.78,-51.42 37.40,-18.77 40.68,14.08 42.80,46.84 45.73,79.04 60.75,67.49 -146.78,34.94 -140.60,2.11 -138.23,-30.70 -135.97
-12.48 72.44,-45.19 75.26,-77.36 87.85,-69.36 -117.92,-36.96 -111.05,-4.19 -108.61,28.66 -106.39,61.29 -101.79,84.55 30.68,53.09 66.87,20.38 70.32,-23.41 103.20,-56.01 106.98,-86.19 171.49,-58.63 -84.24,-26.06 -80.10,6.77 -77.92,39.57 -75.38,72.03 -67.23,74.61 88.51,42.22 98.40,9.43 101.06,-34.32 134.10,-66.77 140.03,-79.85 -68.80,-47.82 -52.31,-15.14 -49.32,17.72 -47.20,50.46 -44.00,82.36 -20.53,63.91 124.31,31.31 129.47,-1.53 131.75,-45.19 165.26,-77.36 177.85,-69.36 -27.92,-36.96 -21.05,-4.19 -18.61,28.66 -16.39,61.29 -11.79,84.55 120.68,53.09 156.87,20.38 160.32,-12.48 162.44,-56.01 -163.02,-86.19 -98.51,-58.63 5.76,-26.06 9.90,6.77 12.08,39.57 14.62,72.03 22.77,74.61 178.51,42.22 -171.60,9.43 -168.94,-23.41 -166.80,-66.77 -129.97,-79.85 21.20,-47.82 37.69,-15.14 40.68,17.72 42.80,50.46 46.00,82.36 69.47,63.91 -145.69,31.31 -140.53,-1.53 -138.25,-34.32 -135.90
-16.12 72.44,-48.80 75.50,-80.75 94.00,-65.81 -116.61,-33.34 -110.96,-0.55 -108.63,32.29 -106.33,64.88 -100.93,81.49 46.68,49.48 67.20,16.74 70.32,-27.04 103.23,-59.60 107.52,-85.75 -136.03,-55.04 -83.74,-22.43 -80.08,10.41 -77.94,43.20 -75.23,75.55 -64.54,71.07 90.88,38.60 98.54,5.78 101.04,-37.94 134.20,-70.32 141.48,-76.42 -63.62,-44.21 -52.09,-11.50 -49.33,21.36 -47.20,54.07 -43.65,85.24 0.13,60.32 125.10,27.68 129.52,-5.17 131.72,-48.80 165.50,-80.75 -176.00,-65.81 -26.61,-33.34 -20.96,-0.55 -18.63,32.29 -16.33,64.88 -10.93,81.49 136.68,49.48 157.20,16.74 160.32,-16.12 162.44,-59.60 -162.48,-85.75 -46.03,-55.04 6.26,-22.43 9.92,10.41 12.06,43.20 14.77,75.55 25.46,71.07 -179.12,38.60 -171.46,5.78 -168.96,-27.04 -166.77,-70.32 -128.52,-76.42 26.38,-44.21 37.91,-11.50 40.67,21.36 42.80,54.07 46.35,85.24 90.13,60.32 -144.90,27.68 -140.48,-5.17 -138.28,-37.94 -135.80
-19.76 72.44,-52.40 75.81,-83.91 107.03,-62.24 -115.68,-29.72 -110.90,3.10 -108.66,35.92 -106.25,68.45 -99.73,78.11 53.85,45.86 67.45,13.09 70.31,-30.67 103.28,-63.18 108.26,-83.12 -110.07,-51.45 -83.36,-18.80 -80.07,14.05 -77.95,46.82 -75.03,79.02 -60.04,67.51 92.45,34.97 98.64,2.14 101.01,-41.56 134.33,-73.85 143.63,-72.92 -60.61,-40.60 -51.93,-7.86 -49.35,25.00 -47.18,57.67 -43.18,86.39 48.73,56.72 125.68,24.04 129.55,-8.82 131.70,-52.40 165.81,-83.91 -162.97,-62.24 -25.68,-29.72 -20.90,3.10 -18.66,35.92 -16.25,68.45 -9.73,78.11 143.85,45.86 157.45,13.09 160.31,-19.76 162.44,-63.18 -161.74,-83.12 -20.07,-51.45 6.64,-18.80 9.93,14.05 12.05,46.82 14.97,79.02 29.96,67.51 -177.55,34.97 -171.36,2.14 -168.99,-30.67 -166.72,-73.85 -126.37,-72.92 29.39,-40.60 38.07,-7.86 40.65,25.00 42.82,57.67 46.82,86.39 138.73,56.72 -144.32,24.04 -140.45,-8.82 -138.30,-41.56 -135.67
-23.39 72.45,-55.99 76.22,-86.18 140.41,-58.66 -115.00,-26.09 -110.86,6.74 -108.68,39.55 -106.14,72.01 -97.99,74.63 57.74,42.24 67.64,9.45 70.30,-34.30 103.34,-66.75 109.27,-79.87 -99.60,-47.85 -83.07,-15.16 -80.07,17.70 -77.96,50.43 -74.76,82.34 -51.37,63.93 93.55,31.33 98.71,-1.51 100.99,-45.17 134.51,-77.33 147.06,-69.39 -58.68,-36.99 -51.80,-4.21 -49.37,28.64 -47.14,61.27 -42.55,84.57 89.76,53.12 126.11,20.40 129.56,-12.46 131.69,-55.99 166.22,-86.18 -129.59,-58.66 -25.00,-26.09 -20.86,6.74 -18.68,39.55 -16.14,72.01 -7.99,74.63 147.74,42.24 157.64,9.45 160.30,-23.39 162.45,-66.75 -160.73,-79.87 -9.60,-47.85 6.93,-15.16 9.93,17.70 12.04,50.43 15.24,82.34 38.63,63.93 -176.45,31.33 -171.29,-1.51 -169.01,-34.30 -166.66,-77.33 -122.94,-69.39 31.32,-36.99 38.20,-4.21 40.63,28.64 42.86,61.27 47.45,84.57 179.76,53.12 -143.89,20.40 -140.44,-12.46 -138.31,-45.17 -135.49
-27.02 72.48,-59.58 76.76,-85.77 -167.04,-55.07 -114.49,-22.46 -110.84,10.39 -108.70,43.17 -105.99,75.53 -95.32,71.09 60.12,38.62 67.78,5.81 70.28,-37.92 103.44,-70.30 110.71,-76.44 -94.40,-44.24 -82.85,-11.52 -80.08,21.34 -77.95,54.04 -74.40,85.23 -30.84,60.34 94.34,27.70 98.76,-5.15 100.97,-48.77 134.74,-80.73 153.19,-65.83 -57.37,-33.36 -51.72,-0.57 -49.39,32.27 -47.09,64.85 -41.69,81.51 105.86,49.50 126.44,16.76 129.57,-16.10 131.68,-59.58 166.76,-85.77 -77.04,-55.07 -24.49,-22.46 -20.84,10.39 -18.70,43.17 -15.99,75.53 -5.32,71.09 150.12,38.62 157.78,5.81 160.28,-27.02 162.48,-70.30 -159.29,-76.44 -4.40,-44.24 7.15,-11.52 9.92,21.34 12.05,54.04 15.60,85.23 59.16,60.34 -175.66,27.70 -171.24,-5.15 -169.03,-37.92 -166.56,-80.73 -116.81,-65.83 32.63,-33.36 38.28,-0.57 40.61,32.27 42.91,64.85 48.31,81.51 -164.14,49.50 -143.56,16.76 -140.43,-16.10 -138.32,-48.77 -135.26
-30.65 72.52,-63.16 77.50,-83.14 -140.92,-51.47 -114.11,-18.82 -110.83,14.03 -108.71,46.79 -105.78,79.00 -90.83,67.53 61.69,34.99 67.88,2.16 70.26,-41.53 103.57,-73.83 112.86,-72.95 -91.37,-40.63 -82.68,-7.88 -80.10,24.98 -77.93,57.65 -73.94,86.39 17.61,56.74 94.92,24.06 98.79,-8.79 100.95,-52.37 135.05,-83.89 166.14,-62.26 -56.44,-29.74 -51.65,3.07 -49.41,35.90 -47.01,68.43 -40.50,78.14 113.07,45.89 126.69,13.12 129.56,-19.73 131.68,-63.16 167.50,-83.14 -50.92,-51.47 -24.11,-18.82 -20.83,14.03 -18.71,46.79 -15.78,79.00 -0.83,67.53 151.69,34.99 157.88,2.16 160.26,-30.65 162.52,-73.83 -157.14,-72.95 -1.37,-40.63 7.32,-7.88 9.90,24.98 12.07,57.65 16.06,86.39 107.61,56.74 -175.08,24.06 -171.21,-8.79 -169.05,-41.53 -166.43,-83.89 -103.86,-62.26 33.56,-29.74 38.35,3.07 40.59,35.90 42.99,68.43 49.50,78.14 -156.93,45.89 -143.31,13.12 -140.44,-19.73 -138.32,-52.37 -134.95
-34.27 72.59,-66.72 78.51,-79.89 -130.40,-47.87 -113.82,-15.18 -110.83,17.67 -108.71,50.41 -105.52,82.32 -82.21,63.96 62.79,31.36 67.96,-1.48 70.24,-45.14 103.75,-77.31 116.28,-69.41 -89.44,-37.01 -82.56,-4.24 -80.12,28.61 -77.90,61.24 -73.31,84.58 58.85,53.14 95.36,20.42 98.81,-12.43 100.93,-55.97 135.46,-86.17 -160.67,-58.68 -55.76,-26.11 -51.61,6.72 -49.43,39.53 -46.90,71.98 -38.76,74.65 116.97,42.27 126.88,9.47 129.55,-23.37 131.69,-66.72 168.51,-79.89 -40.40,-47.87 -23.82,-15.18 -20.83,17.67 -18.71,50.41 -15.52,82.32 7.79,63.96 152.79,31.36 157.96,-1.48 160.24,-34.27 162.59,-77.31 -153.72,-69.41 0.56,-37.01 7.44,-4.24 9.88,28.61 12.10,61.24 16.69,84.58 148.85,53.14 -174.64,20.42 -171.19,-12.43 -169.07,-45.14 -166.25,-86.17 -70.67,-58.68 34.24,-26.11 38.39,6.72 40.57,39.53 43.10,71.98 51.24,74.65 -153.03,42.27 -143.12,9.47 -140.45,-23.37 -138.31,-55.97 -134.54
-37.89 72.68,-70.28 79.95,-76.47 -125.18,-44.26 -113.60,-11.54 -110.84,21.31 -108.71,54.02 -105.16,85.21 -61.80,60.37 63.58,27.72 68.01,-5.13 70.22,-48.75 103.99,-80.71 122.38,-65.85 -88.13,-33.39 -82.47,-0.59 -80.14,32.25 -77.84,64.83 -72.45,81.53 75.04,49.53 95.69,16.78 98.81,-16.07 100.93,-59.55 136.01,-85.78 -108.07,-55.09 -55.25,-22.48 -51.59,10.36 -49.45,43.15 -46.74,75.51 -36.10,71.12 119.35,38.64 127.03,5.83 129.53,-27.00 131.72,-70.28 169.95,-76.47 -35.18,-44.26 -23.60,-11.54 -20.84,21.31 -18.71,54.02 -15.16,85.21 28.20,60.37 153.58,27.72 158.01,-5.13 160.22,-37.89 162.68,-80.71 -147.62,-65.85 1.87,-33.39 7.53,-0.59 9.86,32.25 12.16,64.83 17.55,81.53 165.04,49.53 -174.31,16.78 -171.19,-16.07 -169.07,-48.75 -166.01,-85.78 -18.07,-55.09 34.75,-22.48 38.41,10.36 40.55,43.15 43.26,75.51 53.90,71.12 -150.65,38.64 -142.97,5.83 -140.47,-27.00 -138.28,-59.55 -133.99
-41.51 72.82,-73.80 82.08,-72.97 -122.14,-40.65 -113.44,-7.90 -110.86,24.95 -108.69,57.62 -104.69,86.39 -13.51,56.77 64.16,24.09 68.04,-8.77 70.20,-52.35 104.29,-83.87 135.26,-62.28 -87.20,-29.76 -82.41,3.05 -80.17,35.88 -77.76,68.40 -71.26,78.16 82.28,45.91 95.94,13.14 98.81,-19.71 100.93,-63.13 136.74,-83.16 -81.78,-51.49 -54.87,-18.84 -51.58,14.01 -49.46,46.77 -46.54,78.97 -31.63,67.56 120.93,35.01 127.13,2.18 129.51,-30.62 131.77,-73.80 172.08,-72.97 -32.14,-40.65 -23.44,-7.90 -20.86,24.95 -18.69,57.62 -14.69,86.39 76.49,56.77 154.16,24.09 158.04,-8.77 160.20,-41.51 162.82,-83.87 -134.74,-62.28 2.80,-29.76 7.59,3.05 9.83,35.88 12.24,68.40 18.74,78.16 172.28,45.91 -174.06,13.14 -171.19,-19.71 -169.07,-52.35 -165.71,-83.16 8.22,-51.49 35.13,-18.84 38.42,14.01 40.54,46.77 43.46,78.97 58.37,67.56 -149.07,35.01 -142.87,2.18 -140.49,-30.62 -138.23,-63.13 -133.26
-45.12 72.99,-77.29 85.50,-69.43 -120.21,-37.03 -113.31,-4.26 -110.88,28.59 -108.65,61.22 -104.07,84.60 27.93,53.16 64.60,20.45 68.05,-12.41 70.18,-55.94 104.70,-86.16 168.25,-58.70 -86.52,-26.13 -82.37,6.70 -80.19,39.50 -77.65,71.96 -69.53,74.67 86.19,42.29 96.13,9.50 98.79,-23.34 100.94,-66.70 137.75,-79.91 -71.20,-47.89 -54.58,-15.21 -51.58,17.65 -49.47,50.39 -46.27,82.30 -23.04,63.98 122.03,31.38 127.20,-1.46 129.48,-34.25 131.83,-77.29 175.50,-69.43 -30.21,-37.03 -23.31,-4.26 -20.88,28.59 -18.65,61.22 -14.07,84.60 117.93,53.16 154.60,20.45 158.05,-12.41 160.18,-45.12 162.99,-86.16 -101.75,-58.70 3.48,-26.13 7.63,6.70 9.81,39.50 12.35,71.96 20.47,74.67 176.19,42.29 -173.87,9.50 -171.21,-23.34 -169.06,-55.94 -165.30,-79.91 18.80,-47.89 35.42,-15.21 38.42,17.65 40.53,50.39 43.73,82.30 66.96,63.98 -147.97,31.38 -142.80,-1.46 -140.52,-34.25 -138.17,-66.70 -132.25
-48.73 73.23,-80.69 91.57,-65.88 -118.89,-33.41 -113.23,-0.62 -110.90,32.22 -108.60,64.81 -103.21,81.55 44.22,49.55 64.93,16.81 68.06,-16.05 70.17,-59.53 105.25,-85.79 -139.09,-55.11 -86.01,-22.50 -82.35,10.34 -80.21,43.13 -77.50,75.49 -66.87,71.14 88.58,38.67 96.27,5.85 98.77,-26.97 100.97,-70.25 139.18,-76.49 -65.95,-44.29 -54.36,-11.57 -51.59,21.29 -49.46,54.00 -45.92,85.19 -2.76,60.39 122.82,27.75 127.25,-5.10 129.46,-37.87 131.93,-80.69 -178.43,-65.88 -28.89,-33.41 -23.23,-0.62 -20.90,32.22 -18.60,64.81 -13.21,81.55 134.22,49.55 154.93,16.81 158.06,-16.05 160.17,-48.73 163.23,-85.79 -49.09,-55.11 3.99,-22.50 7.65,10.34 9.79,43.13 12.50,75.49 23.13,71.14 178.58,38.67 -173.73,5.85 -171.23,-26.97 -169.03,-59.53 -164.75,-76.49 24.05,-44.29 35.64,-11.57 38.41,21.29 40.54,54.00 44.08,85.19 87.24,60.39 -147.18,27.75 -142.75,-5.10 -140.54,-37.87 -138.07,-70.25 -130.82
-52.33 73.54,-83.85 104.38,-62.31 -117.96,-29.79 -113.16,3.03 -110.92,35.85 -108.52,68.38 -102.03,78.18 51.49,45.93 65.18,13.16 68.05,-19.69 70.17,-63.11 105.98,-83.18 -112.63,-51.52 -85.63,-18.87 -82.34,13.98 -80.22,46.75 -77.30,78.95 -62.42,67.58 90.17,35.04 96.37,2.21 98.75,-30.60 101.01,-73.78 141.31,-72.99 -62.91,-40.67 -54.19,-7.93 -51.61,24.93 -49.44,57.60 -45.45,86.40 45.36,56.79 123.40,24.11 127.28,-8.74 129.44,-41.48 132.06,-83.85 -165.62,-62.31 -27.96,-29.79 -23.16,3.03 -20.92,35.85 -18.52,68.38 -12.03,78.18 141.49,45.93 155.18,13.16 158.05,-19.69 160.17,-52.33 163.54,-83.18 -22.63,-51.52 4.37,-18.87 7.66,13.98 9.78,46.75 12.70,78.95 27.58,67.58 -179.83,35.04 -173.63,2.21 -171.25,-30.60 -168.99,-63.11 -164.02,-72.99 27.09,-40.67 35.81,-7.93 38.39,24.93 40.56,57.60 44.55,86.40 135.36,56.79 -146.60,24.11 -142.72,-8.74 -140.56,-41.48 -137.94,-73.78 -128.69
-55.92 73.95,-86.15 137.18,-58.73 -117.28,-26.16 -113.12,6.67 -110.94,39.48 -108.41,71.94 -100.30,74.70 55.42,42.31 65.37,9.52 68.04,-23.32 70.18,-66.68 106.98,-79.93 -102.00,-47.92 -85.33,-15.23 -82.34,17.62 -80.22,50.36 -77.03,82.28 -53.87,64.00 91.27,31.41 96.45,-1.44 98.73,-34.23 101.08,-77.27 144.72,-69.46 -60.97,-37.06 -54.07,-4.28 -51.63,28.56 -49.41,61.20 -44.83,84.62 87.01,53.19 123.84,20.47 127.30,-12.39 129.43,-45.10 132.24,-86.15 -132.82,-58.73 -27.28,-26.16 -23.12,6.67 -20.94,39.48 -18.41,71.94 -10.30,74.70 145.42,42.31 155.37,9.52 158.04,-23.32 160.18,-55.92 163.95,-79.93 -12.00,-47.92 4.67,-15.23 7.66,17.62 9.78,50.36 12.97,82.28 36.13,64.00 -178.73,31.41 -173.55,-1.44 -171.27,-34.23 -168.92,-66.68 -163.02,-69.46 29.03,-37.06 35.93,-4.28 38.37,28.56 40.59,61.20 45.17,84.62 177.01,53.19 -146.16,20.47 -142.70,-12.39 -140.57,-45.10 -137.76,-77.27 -125.28
